"time","timeDate","close","high","low","open","volumefrom","volumeto"
1540018800000,"2018-10-20",205.83,206.79,205.83,206.42,16243.88,3363088.6
1540022400000,"2018-10-20",205.83,206.49,205.63,205.83,35304.53,7200806.99
1540026000000,"2018-10-20",205.63,205.92,205.37,205.83,4825.85,987904.33
1540029600000,"2018-10-20",205.07,205.74,204.99,205.63,11617.15,2370494.85
1540033200000,"2018-10-20",205.67,205.72,204.92,205.07,5074.76,1045062.44
1540036800000,"2018-10-20",205.4,205.67,205.08,205.67,3396.79,698931.17
1540040400000,"2018-10-20",205.9,206.15,205.32,205.4,7030.13,1446718.56
1540044000000,"2018-10-20",205.57,205.96,205.47,205.9,8074.6,1666121.95
1540047600000,"2018-10-20",204.57,205.89,204.42,205.57,11419.74,2340128.17
1540051200000,"2018-10-20",204.92,205.11,204.43,204.57,4856.32,996748.42
1540054800000,"2018-10-21",204.15,204.96,203.82,204.92,13814.76,2800427.43
1540058400000,"2018-10-21",203.89,204.25,203.84,204.15,5000.48,1023919.6
1540062000000,"2018-10-21",204.89,204.97,203.77,203.89,6297.06,1295292.32
1540065600000,"2018-10-21",204.71,204.94,204.34,204.89,4261.6,871750.41
1540069200000,"2018-10-21",204.79,205.02,204.71,204.71,2697.56,553909.77
1540072800000,"2018-10-21",205.39,205.53,204.72,204.79,6038.23,1243558.42
1540076400000,"2018-10-21",205.08,205.46,204.67,205.39,2984.73,614751.62
1540080000000,"2018-10-21",205.8,205.82,204.88,205.08,5260.72,1079572.37
1540083600000,"2018-10-21",207.23,208.39,205.56,205.8,36576.73,7616504.29
1540087200000,"2018-10-21",207.06,207.32,206.82,207.23,5035.12,1038357.21
1540090800000,"2018-10-21",206.59,207.26,206.59,207.06,4214.93,871773.2
1540094400000,"2018-10-21",206.82,206.99,206.51,206.59,4505.18,939314.5
1540098000000,"2018-10-21",206.77,207.04,206.31,206.82,2570.55,532972.13
1540101600000,"2018-10-21",206.48,206.83,206.35,206.83,2818.61,588600.2
1540105200000,"2018-10-21",206.36,206.58,206.29,206.48,2770.26,577574.74
1540108800000,"2018-10-21",207,207.03,206.35,206.38,2248.48,465938.39
1540112400000,"2018-10-21",207.02,207.03,206.79,207,2837.03,587604.85
1540116000000,"2018-10-21",206.94,207.31,206.94,207.02,2032.2,420139.09
1540119600000,"2018-10-21",205.98,206.96,205.85,206.94,8994.16,1856137.35
1540123200000,"2018-10-21",206.38,206.39,205.96,205.98,2984.82,617976.48
1540126800000,"2018-10-21",207.02,207.02,206.34,206.38,12624.59,2594939.41
1540130400000,"2018-10-21",206.73,207.4,206.72,207.07,8415.02,1749727.95
1540134000000,"2018-10-21",206.94,207.02,206.48,206.73,16538.91,3402070.82
1540137600000,"2018-10-21",206.17,206.99,206.17,206.94,6618.93,1363405.82
1540141200000,"2018-10-22",205.49,206.62,204.75,206.18,19058.38,3939496.44
1540144800000,"2018-10-22",205.44,205.68,205.35,205.49,3536.27,722742.69
1540148400000,"2018-10-22",205.65,205.83,205.33,205.44,2199.94,452942.11
1540152000000,"2018-10-22",205.67,206.01,205.51,205.65,4309.89,885363.57
1540155600000,"2018-10-22",205.29,206.22,205.26,205.67,5082.55,1047446.33
1540159200000,"2018-10-22",204.68,205.41,204.54,205.29,10263.85,2106254.72
1540162800000,"2018-10-22",204.77,205.11,203.81,204.68,21396.34,4405843.88
1540166400000,"2018-10-22",204.38,204.78,203.75,204.77,8506.39,1737887.07
1540170000000,"2018-10-22",205.23,205.36,204.03,204.38,5772.78,1185033.11
1540173600000,"2018-10-22",204.51,205.53,204.51,205.24,6537.94,1332358.67
1540177200000,"2018-10-22",204.61,204.84,204.46,204.51,2386.63,488658.28
1540180800000,"2018-10-22",205.39,205.87,204.26,204.61,8327.79,1719906.78
1540184400000,"2018-10-22",205.06,205.63,205.06,205.39,8620.6,1773316.12
1540188000000,"2018-10-22",205.3,205.5,205.02,205.06,6447.39,1312920.85
1540191600000,"2018-10-22",204.57,205.36,204.46,205.3,7953.05,1624584.87
1540195200000,"2018-10-22",203.89,204.57,203.52,204.57,16315.72,3333618.63
1540198800000,"2018-10-22",204.21,204.3,203.88,203.9,7030.62,1429310.38
1540202400000,"2018-10-22",204.56,204.93,204.19,204.21,13575.63,2752547.93
1540206000000,"2018-10-22",204.66,204.7,204.1,204.56,16126.52,3285239.94
1540209600000,"2018-10-22",204.3,204.72,204.24,204.66,8032.59,1643102.38
1540213200000,"2018-10-22",203.63,204.36,202.47,204.3,30155.97,6139844.06
1540216800000,"2018-10-22",203.57,203.7,203.32,203.63,10279.36,2088847.99
1540220400000,"2018-10-22",203.63,204.05,203.57,203.57,11056.99,2245860.7
1540224000000,"2018-10-22",204.01,204.06,203.58,203.63,7314.54,1479888.07
1540227600000,"2018-10-23",203.6,204.14,203.52,204.01,8939.54,1815003.39
1540231200000,"2018-10-23",203.2,203.82,203.08,203.6,8476.67,1716203.85
1540234800000,"2018-10-23",202.9,203.58,202.45,203.2,16306.59,3286294.76
1540238400000,"2018-10-23",203.98,204.35,202.78,202.93,14519.05,2935375.13
1540242000000,"2018-10-23",203.8,204.49,203.71,203.98,9850.67,2001849.16
1540245600000,"2018-10-23",203.75,203.92,203.55,203.8,6772.51,1370408.16
1540249200000,"2018-10-23",203.6,203.86,203.16,203.75,9385.55,1900601.61
1540252800000,"2018-10-23",204.16,204.16,203.01,203.6,10134.61,2067549.13
1540256400000,"2018-10-23",203.96,204.73,203.95,204.16,11545.14,2362403.37
1540260000000,"2018-10-23",204,204.17,203.74,203.96,7762.73,1580772.31
